iter	Logloss	Accuracy
0	0.622014624	0.8076698048
1	0.5695803335	0.8144779533
2	0.5303115032	0.8229349503
3	0.4977231191	0.8277751183
4	0.4748494148	0.830328174
5	0.4535301923	0.8322961545
6	0.435431274	0.8351151534
7	0.4204533603	0.8379873411
8	0.4098234104	0.8395830009
9	0.4002827682	0.8417105473
10	0.3902293789	0.8438380937
11	0.3816581102	0.8484123185
12	0.3737577571	0.8490505824
13	0.368142373	0.8510717515
14	0.3608330028	0.8552736557
15	0.3546245448	0.8568161268
16	0.3493008358	0.8578267113
17	0.3452531806	0.8609116536
18	0.3409078854	0.8626136908
19	0.3364499903	0.8644752939
20	0.3329840992	0.8662837083
21	0.3296224003	0.8673474815
22	0.3254887479	0.8687303867
23	0.3226210999	0.871177065
24	0.3191758672	0.8737301207
25	0.3156799508	0.874474762
26	0.3134113107	0.8755385352
27	0.3106048486	0.8765491197
28	0.3070276684	0.879793628
29	0.3048692251	0.8808042125
30	0.302469375	0.8810701558
31	0.2998138431	0.882772193
32	0.2974125305	0.8846337961
33	0.2952407692	0.8852188713
34	0.2929044061	0.8854848146
35	0.2914630856	0.8863358332
36	0.2888636785	0.8884101909
37	0.2867205695	0.8887293229
38	0.2847737082	0.8891548322
39	0.28219721	0.8906441147
40	0.280608087	0.8919206425
41	0.2791643768	0.8925057178
42	0.2769978076	0.8941545662
43	0.2749621081	0.8952715281
44	0.2732984649	0.8961757353
45	0.2716447776	0.8970267539
46	0.2695789068	0.8981437158
47	0.2686656006	0.898888357
48	0.2671105923	0.9003244508
49	0.2651703266	0.9008031488
50	0.2645488809	0.9008563374
51	0.2640851558	0.9011754694
52	0.2622569545	0.9028775065
53	0.2615366729	0.9031434498
54	0.2589633887	0.9064411467
55	0.2569497933	0.9066007127
56	0.2560728487	0.9069730333
57	0.2545426087	0.9086218818
58	0.2533031839	0.9098984097
59	0.2523638431	0.9100579756
60	0.251109486	0.910164353
61	0.2494190754	0.9111217488
62	0.2483808874	0.9116536354
63	0.2467552222	0.912823786
64	0.2451439164	0.9142066911
65	0.2433230246	0.915323653
66	0.2426432222	0.9156959736
67	0.2411502746	0.9164406149
68	0.240207578	0.9171852561
69	0.2385316975	0.918142652
70	0.2373979428	0.9184617839
71	0.2351855596	0.920482953
72	0.2343519704	0.9206957077
73	0.2324982115	0.9214403489
74	0.2316666869	0.9220786128
75	0.2306462644	0.923461518
76	0.2294703916	0.9242593479
77	0.228545123	0.9252699325
78	0.2278606804	0.9259081964
79	0.2265885368	0.9268124036
80	0.2252142657	0.9277166108
81	0.2234502189	0.9285676294
82	0.2229091937	0.9285144407
83	0.2212726739	0.9296314026
84	0.2207100449	0.9300569119
