iter	Passed	Remaining
0	219	109561
1	436	108784
2	703	116581
3	962	119384
4	1224	121189
5	1525	125627
6	1797	126583
7	2054	126379
8	2339	127616
9	2537	124343
10	2763	122840
11	2963	120530
12	3188	119429
13	3436	119280
14	3620	117062
15	3867	117006
16	4129	117325
17	4385	117439
18	4672	118298
19	4907	117771
20	5144	117342
21	5394	117201
22	5607	116295
23	5837	115774
24	6106	116020
25	6319	115209
26	6568	115064
27	6826	115072
28	7107	115430
29	7373	115524
30	7603	115027
31	7861	114970
32	8126	115006
33	8367	114686
34	8620	114533
35	8787	113259
36	8981	112387
37	9231	112239
38	9449	111701
39	9676	111284
40	9906	110909
41	10165	110849
42	10466	111235
43	10727	111176
44	10958	110802
45	11144	109989
46	11416	110031
47	11674	109931
48	11929	109800
49	12160	109443
50	12234	107707
51	12345	106357
52	12550	105847
53	12783	105579
54	12979	105016
55	13269	105206
56	13479	104759
57	13704	104437
58	13956	104322
59	14214	104236
60	14497	104331
61	14746	104175
62	14996	104025
63	15245	103862
64	15495	103701
65	15723	103395
66	15983	103296
67	16238	103159
68	16530	103255
69	16754	102921
70	16987	102643
71	17261	102607
72	17510	102427
73	17733	102088
74	17934	101631
75	18176	101404
76	18370	100916
77	18556	100396
78	18762	99985
79	18983	99665
80	19202	99329
81	19432	99057
82	19694	98946
83	19983	98966
84	20237	98806
85	20472	98553
86	20680	98174
87	20964	98152
88	21206	97931
89	21417	97567
90	21616	97157
91	21844	96873
92	22121	96810
93	22376	96648
94	22655	96583
95	22927	96484
96	23143	96150
97	23364	95840
98	23568	95464
99	23760	95042
100	23945	94594
101	24191	94396
102	24432	94173
103	24672	93943
104	24891	93640
105	25128	93402
106	25365	93165
107	25622	92999
108	25815	92604
109	26087	92490
110	26324	92254
111	26503	91814
112	26798	91777
113	27049	91588
114	27264	91275
115	27497	91025
116	27748	90835
117	27956	90503
118	28145	90112
119	28377	89861
120	28617	89635
121	28869	89449
122	29135	89300
123	29405	89165
124	29651	88953
125	29856	88621
126	30119	88461
127	30364	88246
128	30629	88088
129	30893	87927
130	31181	87832
131	31410	87569
132	31603	87206
133	31796	86847
134	32057	86673
135	32337	86550
136	32538	86214
137	32788	86009
138	33024	85768
139	33285	85590
140	33536	85387
141	33795	85201
