iter	Passed	Remaining
0	172	86209
1	336	83866
2	515	85367
3	683	84786
4	855	84710
5	1034	85171
6	1208	85095
7	1377	84726
8	1542	84177
9	1709	83747
10	1907	84793
11	2093	85118
12	2279	85401
13	2484	86258
14	2656	85907
15	2841	85960
16	3019	85791
17	3226	86389
18	3449	87318
19	3705	88927
20	3905	89075
21	4103	89160
22	4319	89574
23	4512	89502
24	4734	89949
25	4988	90946
26	5201	91125
27	5462	92077
28	5739	93212
29	5959	93366
30	6234	94328
31	6495	95001
32	6748	95506
33	6949	95251
34	7214	95844
35	7510	96807
36	7702	96387
37	7886	95877
38	8114	95914
39	8361	96160
40	8588	96154
41	8874	96771
42	9141	97157
43	9387	97288
44	9655	97629
45	9834	97064
46	10084	97197
47	10320	97188
48	10559	97186
49	10804	97238
50	11072	97484
51	11301	97366
52	11575	97628
53	11824	97658
54	12011	97183
55	12250	97126
56	12500	97149
57	12700	96788
58	12918	96560
59	13116	96188
60	13367	96201
61	13542	95674
62	13758	95436
63	13973	95192
64	14203	95053
65	14432	94905
66	14701	95012
67	14883	94552
68	15154	94659
69	15427	94766
70	15680	94746
71	15947	94800
72	16199	94754
73	16396	94390
74	16646	94330
75	16900	94286
76	17137	94143
77	17413	94209
78	17598	93781
79	17813	93519
80	18083	93542
81	18345	93518
82	18589	93392
83	18850	93355
84	19073	93122
85	19284	92833
86	19535	92735
87	19823	92809
88	20042	92555
89	20235	92184
90	20491	92099
91	20678	91703
92	20914	91528
93	21168	91431
94	21379	91143
95	21616	90967
96	21853	90793
97	22075	90554
98	22344	90504
99	22601	90406
100	22799	90068
101	22977	89658
102	23258	89646
103	23524	89572
104	23716	89220
105	23930	88948
106	24186	88835
107	24382	88500
108	24563	88111
109	24825	88017
110	25008	87641
111	25199	87297
112	25376	86908
113	25620	86751
114	25876	86629
115	26118	86461
116	26343	86236
117	26565	86000
118	26743	85622
119	26951	85345
120	27140	85011
121	27392	84870
122	27648	84745
123	27888	84565
124	28121	84364
125	28382	84245
126	28642	84123
127	28837	83810
128	29025	83477
129	29251	83254
130	29516	83143
131	29796	83067
132	30065	82963
133	30260	82651
134	30492	82443
135	30748	82297
136	30995	82126
137	31234	81933
138	31447	81672
139	31698	81511
140	31954	81360
141	32225	81244
142	32429	80960
143	32696	80832
144	32927	80616
145	33155	80391
146	33391	80184
147	33596	79905
148	33904	79869
149	34136	79650
150	34308	79296
151	34512	79014
152	34691	78678
153	34876	78358
154	35105	78137
155	35302	77846
156	35505	77569
157	35762	77409
158	36034	77282
159	36279	77092
160	36507	76869
161	36774	76727
162	37025	76549
163	37276	76370
164	37512	76162
165	37772	75999
166	38002	75776
167	38175	75442
168	38403	75216
169	38634	74997
170	38856	74758
171	39045	74459
172	39249	74188
173	39481	73970
174	39719	73764
175	39965	73572
176	40215	73387
177	40420	73119
178	40616	72837
179	40887	72688
180	41147	72519
181	41391	72320
182	41626	72107
183	41865	71898
184	42061	71617
185	42335	71470
186	42552	71224
187	42825	71071
188	43047	70834
189	43304	70654
190	43546	70449
191	43736	70160
192	43967	69937
193	44152	69643
194	44365	69392
195	44595	69168
196	44839	68966
197	45077	68754
198	45321	68551
199	45554	68331
200	45804	68137
201	46028	67903
202	46292	67728
203	46532	67518
204	46759	67288
205	46994	67070
206	47249	66879
207	47464	66632
208	47706	66424
209	47959	66229
210	48194	66010
211	48463	65836
212	48677	65588
213	48882	65328
214	49115	65106
215	49355	64892
216	49614	64705
217	49886	64532
218	50163	64365
219	50394	64137
220	50612	63894
221	50856	63685
222	51033	63391
223	51288	63194
224	51555	63011
225	51822	62828
226	52067	62618
227	52314	62410
228	52583	62227
229	52839	62029
230	53101	61837
231	53351	61629
232	53631	61458
233	53880	61248
234	54126	61036
235	54374	60825
236	54618	60610
237	54853	60385
238	55064	60133
239	55288	59896
240	55473	59617
241	55656	59336
242	55834	59050
243	56051	58808
244	56279	58577
245	56498	58336
246	56713	58091
247	56930	57848
248	57163	57622
249	57362	57362
250	57631	57171
251	57862	56944
252	58088	56710
253	58289	56453
254	58517	56223
255	58742	55989
256	59012	55797
257	59289	55612
258	59573	55433
259	59824	55222
260	60078	55014
261	60280	54758
262	60562	54575
263	60789	54341
264	61041	54130
265	61276	53904
266	61489	53659
267	61718	53427
268	61951	53199
269	62206	52990
270	62436	52760
271	62646	52512
272	62858	52267
273	63137	52077
274	63384	51860
275	63634	51645
276	63865	51415
277	64120	51204
278	64327	50954
279	64605	50761
280	64859	50549
281	65153	50366
282	65404	50150
283	65644	49926
284	65846	49673
285	66146	49494
286	66378	49263
287	66670	49076
288	66875	48825
289	67148	48624
290	67407	48412
291	67700	48225
292	67958	48011
293	68195	47782
294	68424	47548
295	68625	47295
296	68823	47041
297	69040	46798
298	69220	46532
299	69459	46306
300	69733	46103
301	69994	45890
302	70224	45657
303	70464	45430
304	70723	45216
305	70993	45009
306	71252	44793
307	71519	44583
308	71755	44354
309	72028	44146
310	72238	43900
311	72528	43703
312	72792	43489
313	73012	43249
314	73264	43028
315	73512	42804
316	73728	42562
317	73944	42320
318	74142	42068
319	74389	41844
320	74627	41614
321	74860	41382
322	75143	41177
323	75322	40916
324	75560	40686
325	75834	40476
326	76101	40261
327	76300	40011
328	76514	39769
329	76780	39553
330	77014	39321
331	77258	39094
332	77491	38861
333	77680	38607
334	77878	38358
335	78129	38134
336	78400	37920
337	78609	37676
338	78880	37462
339	79152	37248
340	79373	37009
341	79599	36773
342	79841	36545
343	80043	36298
344	80236	36048
345	80498	35828
346	80759	35608
347	80993	35376
348	81238	35149
349	81480	34920
350	81743	34700
351	81979	34468
352	82248	34250
353	82473	34014
354	82694	33776
355	82946	33551
356	83182	33319
357	83412	33085
358	83611	32839
359	83808	32592
360	84010	32347
361	84259	32120
362	84473	31881
363	84744	31662
364	84952	31420
365	85192	31190
366	85385	30943
367	85570	30693
368	85767	30448
369	85956	30200
370	86128	29947
371	86365	29717
372	86646	29501
373	86863	29264
374	87085	29028
375	87337	28802
376	87612	28584
377	87866	28359
378	88069	28117
379	88268	27874
380	88485	27637
381	88749	27414
382	89008	27190
383	89268	26966
384	89464	26723
385	89664	26481
386	89918	26255
387	90102	26009
388	90348	25780
389	90650	25568
390	90850	25326
391	91097	25098
392	91324	24864
393	91568	24635
394	91809	24405
395	92078	24182
396	92360	23962
397	92592	23729
398	92879	23510
399	93134	23283
400	93345	23045
401	93618	22822
402	93855	22590
403	94074	22354
404	94310	22122
405	94542	21889
406	94787	21659
407	95061	21435
408	95312	21206
409	95545	20973
410	95750	20734
411	96012	20507
412	96264	20278
413	96517	20049
414	96726	19811
415	96955	19577
416	97201	19347
417	97487	19124
418	97717	18890
419	98011	18668
420	98264	18439
421	98480	18202
422	98689	17964
423	98911	17729
424	99106	17489
425	99360	17259
426	99614	17030
427	99900	16805
428	100119	16569
429	100395	16343
430	100675	16117
431	100966	15892
432	101184	15656
433	101461	15429
434	101710	15198
435	101936	14963
436	102157	14727
437	102414	14496
438	102681	14267
439	102978	14042
440	103239	13812
441	103495	13580
442	103731	13347
443	103952	13111
444	104173	12875
445	104368	12636
446	104603	12402
447	104874	12172
448	105090	11936
449	105276	11697
450	105552	11468
451	105838	11239
452	106056	11003
453	106274	10767
454	106545	10537
455	106759	10301
456	106930	10061
457	107173	9828
458	107360	9589
459	107622	9358
460	107825	9121
461	108066	8888
462	108281	8653
463	108557	8422
464	108813	8190
465	109066	7957
466	109326	7725
467	109545	7490
468	109754	7254
469	110027	7023
470	110248	6788
471	110497	6554
472	110753	6322
473	110978	6087
474	111185	5851
475	111368	5615
476	111589	5380
477	111828	5146
478	112073	4913
479	112332	4680
480	112596	4447
481	112844	4214
482	113067	3979
483	113332	3746
484	113583	3512
485	113791	3277
486	114033	3044
487	114312	2810
488	114590	2577
489	114857	2344
490	115128	2110
491	115374	1876
492	115607	1641
493	115803	1406
494	116070	1172
495	116275	937
496	116451	702
497	116625	468
498	116873	234
499	117208	0
