iter	Logloss	Accuracy
0	0.6246251604	0.804298101
1	0.5702001724	0.8187137614
2	0.531363335	0.822650141
3	0.5008754651	0.8264269376
4	0.4780638063	0.8329166445
5	0.4577637069	0.8330230331
6	0.4376021836	0.837331773
7	0.422033689	0.8390871855
8	0.411891768	0.8394063514
9	0.4015495256	0.8409489866
10	0.3933379027	0.8422256503
11	0.3849119782	0.843183148
12	0.3778965414	0.8453641151
13	0.3713142882	0.8466407788
14	0.3652101798	0.8490345231
15	0.3599538615	0.8509495186
16	0.3553428172	0.8536092345
17	0.3504857482	0.8559497846
18	0.3464742132	0.8579711687
19	0.3433301998	0.8596201926
20	0.3384163676	0.8608436619
21	0.3345406477	0.8632906006
22	0.3315685091	0.8632374062
23	0.3274208002	0.8654715676
24	0.3239774657	0.8676525347
25	0.3209795377	0.868876004
26	0.3177792463	0.8711101654
27	0.3145933549	0.8735039098
28	0.312071174	0.8751529337
29	0.309292994	0.8770679291
30	0.3071634075	0.8798340337
31	0.3046909702	0.8801000053
32	0.3023400178	0.8811638917
33	0.2997256476	0.8820150008
34	0.2976974522	0.8828661099
35	0.2943848468	0.8843555508
36	0.292606485	0.8867492952
37	0.2895406078	0.8891962338
38	0.2883316784	0.8902601202
39	0.2865225967	0.8915367839
40	0.2849422584	0.8924942816
41	0.282621699	0.8932390021
42	0.2813515878	0.8940369169
43	0.2797608515	0.8955795521
44	0.2777025936	0.8973349646
45	0.275885756	0.8976541305
46	0.2735778061	0.8996223203
47	0.2717304499	0.9016437045
48	0.2706100809	0.9016437045
49	0.2691477149	0.9025480079
50	0.2672568737	0.9038246715
51	0.2660320942	0.904569392
52	0.2648214483	0.9051545295
53	0.2627547027	0.90589925
54	0.2609963972	0.9068567477
55	0.2595436021	0.9077610511
56	0.257742064	0.9081334114
57	0.256371631	0.9091972977
58	0.2548880143	0.9102079898
59	0.2528228479	0.9113782648
60	0.2508894932	0.9122825682
61	0.2489285678	0.9129740944
62	0.2482538415	0.9137720091
63	0.2473419502	0.9138252035
64	0.2463289118	0.9145699239
65	0.2446149073	0.9150486728
66	0.2435088401	0.9158997819
67	0.2421955037	0.9168572796
68	0.2411837788	0.9174424171
69	0.2402384603	0.9179743603
70	0.2390996471	0.9193042183
71	0.2373498807	0.9209000479
72	0.2356678654	0.921751157
73	0.2342021835	0.922761849
74	0.2327992883	0.9232937922
75	0.2310840887	0.9246236502
76	0.2297148642	0.9256875366
77	0.2289368409	0.9260598968
78	0.2281645649	0.9261130911
79	0.2276817893	0.9264854514
80	0.2257481747	0.9293047503
81	0.2250213057	0.9296239162
82	0.2234556249	0.930102665
83	0.2223742519	0.9304750253
84	0.2215544481	0.9307409969
85	0.2207922692	0.9313261344
86	0.2196294943	0.9318048832
87	0.2180335864	0.9322304378
88	0.2161634159	0.9334539071
89	0.2153317492	0.9344114049
90	0.2140209959	0.9346241821
91	0.2128547525	0.9356348742
92	0.211311365	0.9364859833
93	0.2104404361	0.9369115378
94	0.2085755749	0.9375498697
95	0.2075054333	0.9385605617
96	0.2063518397	0.9393052822
