iter	Logloss_SumError	Logloss_SumWeight	Accuracy_SumError	Accuracy_SumWeight
212	1628.167393	5876	5186	5876
213	1627.963914	5876	5184	5876
214	1627.78725	5876	5186	5876
215	1627.536564	5876	5186	5876
216	1627.547826	5876	5188	5876
217	1626.741728	5876	5187	5876
218	1625.829865	5876	5190	5876
219	1624.797079	5876	5188	5876
220	1625.168534	5876	5191	5876
221	1625.545365	5876	5192	5876
222	1624.505584	5876	5191	5876
223	1624.603728	5876	5190	5876
224	1624.471945	5876	5187	5876
225	1623.607092	5876	5184	5876
226	1623.86721	5876	5185	5876
227	1623.430641	5876	5182	5876
228	1624.057278	5876	5182	5876
229	1623.387106	5876	5183	5876
230	1623.906045	5876	5183	5876
231	1623.692312	5876	5188	5876
232	1623.295477	5876	5191	5876
233	1620.756205	5876	5191	5876
234	1620.981962	5876	5187	5876
235	1620.186324	5876	5185	5876
236	1619.309612	5876	5186	5876
237	1618.784067	5876	5188	5876
238	1620.064709	5876	5183	5876
239	1619.010962	5876	5182	5876
240	1619.482805	5876	5178	5876
241	1619.652844	5876	5178	5876
242	1618.914959	5876	5178	5876
243	1616.987616	5876	5178	5876
244	1615.288955	5876	5179	5876
245	1614.999135	5876	5183	5876
246	1614.567085	5876	5184	5876
