iter	Passed	Remaining
0	190	95190
1	370	92315
2	570	94528
3	785	97457
4	1017	100764
5	1224	100838
6	1411	99421
7	1499	92202
8	1697	92615
9	1914	93787
10	2100	93357
11	2313	94084
12	2532	94853
13	2746	95331
14	2979	96349
15	3184	96335
16	3374	95863
17	3563	95410
18	3773	95527
19	3976	95428
20	4175	95236
21	4375	95071
22	4591	95231
23	4700	93219
24	4910	93300
25	5116	93272
26	5324	93279
27	5517	93007
28	5737	93177
29	5935	92991
30	6137	92856
31	6366	93108
32	6567	92933
33	6762	92683
34	6962	92496
35	7164	92337
36	7356	92052
37	7542	91703
38	7736	91443
39	7920	91088
40	8100	90688
41	8297	90483
42	8500	90343
43	8710	90269
44	8906	90053
45	9096	89780
46	9290	89547
47	9486	89326
48	9689	89182
49	9878	88908
50	10077	88718
51	10287	88627
52	10486	88440
53	10671	88140
54	10871	87963
55	11060	87696
56	11274	87624
57	11467	87386
58	11667	87209
59	11866	87019
60	11907	85697
61	12131	85702
62	12341	85604
63	12555	85535
64	12776	85503
65	12823	84323
66	13028	84199
67	13229	84043
68	13438	83941
69	13660	83915
70	13867	83793
71	14072	83651
72	14264	83439
73	14463	83264
74	14684	83211
75	14884	83042
76	15087	82885
77	15294	82749
78	15507	82641
79	15695	82403
80	15740	81425
81	15938	81245
82	16151	81145
83	16360	81023
84	16557	80839
85	16758	80676
86	16952	80475
87	17151	80298
88	17352	80133
89	17585	80111
90	17874	80336
91	18095	80250
92	18300	80090
93	18530	80037
94	18775	80044
95	18974	79849
96	19175	79666
97	19391	79545
98	19600	79390
99	19802	79210
100	20021	79094
101	20249	79014
102	20462	78871
103	20661	78673
104	20886	78574
105	21074	78331
106	21266	78109
107	21525	78129
108	21752	78028
109	21954	77838
110	22159	77658
111	22348	77422
112	22551	77235
113	22801	77203
114	23007	77025
115	23222	76875
116	23439	76730
117	23658	76588
118	23896	76509
119	24094	76300
120	24318	76170
121	24574	76139
122	24778	75947
123	25014	75849
124	25227	75683
125	25431	75486
126	25652	75342
127	25834	75081
128	26051	74923
129	26258	74735
130	26485	74604
131	26737	74540
132	26938	74335
133	27180	74238
134	27373	74010
135	27580	73819
136	27766	73572
137	27962	73350
138	28237	73336
139	28481	73237
140	28745	73189
141	28980	73064
142	29234	72983
143	29508	72952
144	29731	72790
145	30003	72747
146	30241	72620
147	30527	72606
148	30796	72548
149	31008	72353
150	31299	72340
151	31497	72111
152	31696	71886
153	31906	71686
154	32128	71512
155	32328	71287
156	32556	71126
157	32770	70933
158	33002	70779
159	33200	70552
160	33401	70328
161	33655	70219
162	33884	70054
163	34085	69832
164	34311	69662
165	34498	69412
166	34698	69188
167	34968	69104
168	35235	69012
169	35429	68775
170	35674	68637
171	35939	68535
172	36164	68356
173	36453	68297
174	36673	68107
175	36847	67833
176	37057	67624
177	37280	67439
178	37555	67347
179	37838	67268
180	38057	67074
181	38242	66819
182	38453	66609
183	38667	66407
184	38872	66187
185	39146	66085
186	39420	65982
187	39646	65796
188	39930	65705
189	40168	65537
190	40345	65271
191	40587	65108
192	40863	64999
193	41070	64781
194	41322	64632
195	41576	64485
196	41657	64071
197	41948	63981
198	42200	63830
199	42487	63730
200	42756	63602
201	42996	63430
202	43250	63278
203	43468	63071
204	43684	62862
205	43913	62673
206	44161	62508
207	44353	62265
208	44614	62118
209	44857	61946
210	45100	61772
