iter	Logloss	Accuracy
0	0.6271327721	0.7972340426
1	0.5708339744	0.8188829787
2	0.5314839615	0.8242553191
3	0.5025134791	0.8307446809
4	0.4748039638	0.8350531915
5	0.4514513676	0.8382978723
6	0.4322956745	0.8401595745
7	0.4230606063	0.8405319149
8	0.4105508899	0.8427659574
9	0.4001370441	0.8448404255
10	0.3898085834	0.8470744681
11	0.3797740295	0.8511702128
12	0.3731892299	0.8521276596
13	0.3656707855	0.8540957447
14	0.3592361153	0.8544680851
15	0.3537241132	0.8568617021
16	0.3470720369	0.8586170213
17	0.3423490217	0.8606382979
18	0.3387422332	0.8625531915
19	0.333967093	0.8638297872
20	0.3299591272	0.8657978723
21	0.3266252229	0.867712766
22	0.3239318059	0.8692553191
23	0.322234453	0.8698404255
24	0.3191530316	0.8720212766
25	0.3159804511	0.8731382979
26	0.3133952771	0.8743617021
27	0.3095240072	0.8759574468
28	0.3059387696	0.8771808511
29	0.3040847383	0.8778723404
30	0.300485744	0.880212766
31	0.2976712229	0.8805319149
32	0.2952615717	0.8818085106
33	0.2929849848	0.8838297872
34	0.2909645471	0.884893617
35	0.2892223964	0.8868085106
36	0.286351572	0.8878191489
37	0.2838092011	0.8894680851
38	0.2814750351	0.8907446809
39	0.2799794884	0.8911702128
40	0.2788015908	0.8923404255
41	0.2763022587	0.8938829787
42	0.2740960262	0.8947340426
43	0.2722662145	0.8961702128
44	0.2709547264	0.897287234
45	0.2690391653	0.8990957447
46	0.2662911538	0.9000531915
47	0.2643570928	0.9021276596
48	0.2628455652	0.9030319149
49	0.2616608773	0.9031382979
50	0.2602817545	0.9043085106
51	0.2577432156	0.9061170213
52	0.255588233	0.9069148936
53	0.2540090698	0.9080851064
54	0.2532467205	0.9085638298
55	0.2513344918	0.9089893617
56	0.2504158027	0.9090957447
57	0.249145219	0.9106914894
58	0.2471917435	0.912712766
59	0.2453428819	0.9131914894
60	0.2452380286	0.9131382979
61	0.2432241777	0.9141489362
62	0.2420493692	0.9149468085
63	0.2405774975	0.9163297872
64	0.2391385851	0.9166489362
65	0.238982269	0.9166489362
66	0.2378757485	0.9173404255
67	0.2364518555	0.9186702128
68	0.2352011891	0.9193085106
69	0.2333319531	0.9205851064
70	0.2324414412	0.9204255319
71	0.2315260836	0.9212765957
72	0.2298346967	0.9218085106
73	0.229006337	0.9222340426
74	0.2280160621	0.9232446809
75	0.2265446969	0.9245212766
76	0.2249514323	0.9256914894
77	0.2231476822	0.9264893617
78	0.2213154315	0.9272340426
79	0.220377922	0.9280319149
80	0.2202979175	0.9279255319
81	0.2187438767	0.9285638298
82	0.2174807618	0.9288297872
83	0.2163089219	0.9294148936
84	0.215248162	0.9305319149
85	0.2141466393	0.9318617021
86	0.2127720483	0.9320744681
87	0.2114087992	0.9326595745
88	0.2103742896	0.9340425532
89	0.2089221001	0.9345212766
90	0.2075783641	0.9353191489
91	0.2059707943	0.9371276596
92	0.2050722746	0.9377659574
93	0.2036973942	0.9383510638
94	0.2023191098	0.9390425532
95	0.201032656	0.9394680851
96	0.2001265218	0.94
97	0.1992327731	0.9400531915
98	0.1983923952	0.9407978723
99	0.1970389305	0.9419148936
100	0.1963590389	0.942287234
101	0.1951411218	0.9431382979
102	0.1941850724	0.9431914894
103	0.192622711	0.9444148936
104	0.1916239237	0.9456382979
105	0.1903508429	0.9463297872
106	0.1892298567	0.9472340426
107	0.1876538708	0.9485106383
108	0.186481376	0.949787234
109	0.1856403363	0.9504255319
110	0.1844781892	0.9503191489
111	0.1832722982	0.9515957447
112	0.182257837	0.9519680851
113	0.1809512288	0.9528191489
114	0.1790750116	0.9539361702
115	0.1778665283	0.954893617
116	0.1769639646	0.9554787234
117	0.1760430007	0.9557446809
118	0.1749604535	0.9564361702
119	0.1742200912	0.9569680851
120	0.1732438329	0.9576595745
121	0.17213676	0.9582446809
122	0.1715909971	0.9581382979
123	0.1703812863	0.9588829787
124	0.1683941334	0.9596808511
125	0.1680773937	0.959787234
126	0.166501351	0.9606382979
127	0.1653622345	0.9612234043
128	0.1645783916	0.9616489362
129	0.1633937162	0.9621808511
130	0.1624829469	0.9621808511
131	0.1614886577	0.9623404255
132	0.1610963867	0.9629787234
133	0.1599824029	0.9639893617
134	0.1585680247	0.9645212766
135	0.157660046	0.9654255319
136	0.156965365	0.9656382979
137	0.1560416002	0.9661170213
138	0.1552099305	0.9664361702
139	0.1541443384	0.9669148936
140	0.153298389	0.967606383
141	0.1525940549	0.9680319149
142	0.1516763734	0.9684042553
143	0.1511443578	0.9686702128
144	0.1501505523	0.9693085106
145	0.1494085277	0.9694148936
146	0.1489537879	0.9695212766
147	0.1476084114	0.9701595745
148	0.1469695841	0.97
149	0.1457377875	0.9705319149
150	0.1442186106	0.9718085106
151	0.1431502923	0.9719148936
152	0.1424017577	0.9724468085
153	0.1414894223	0.9728723404
154	0.1405493194	0.9730851064
155	0.1396631144	0.9736702128
156	0.1388826637	0.9741489362
157	0.1377653135	0.9745212766
158	0.1369844562	0.9750531915
159	0.1362958515	0.975106383
160	0.1352621145	0.9754787234
161	0.1343815768	0.9759574468
162	0.133226481	0.9766489362
163	0.1326737718	0.9768617021
164	0.1317799514	0.9770212766
165	0.1309761419	0.9772340426
166	0.1303786397	0.977712766
167	0.1299748179	0.9776595745
168	0.1293866546	0.9783510638
169	0.1287957496	0.9782978723
170	0.1282527833	0.9785106383
171	0.1273334582	0.9790425532
172	0.1268885191	0.9792553191
173	0.1260578841	0.9792021277
174	0.1250540787	0.9796276596
175	0.1240887486	0.9799468085
176	0.1235417262	0.9803191489
177	0.1230508753	0.9804255319
178	0.1217978419	0.9810106383
179	0.1209830815	0.9816489362
180	0.1202686093	0.9818617021
181	0.1196784907	0.982287234
182	0.1192440668	0.9824468085
183	0.1186596177	0.982712766
184	0.1179399553	0.982606383
185	0.1172610388	0.982712766
186	0.1164754971	0.9832978723
187	0.1155754682	0.9837234043
188	0.1146660019	0.9844680851
189	0.1144419876	0.9845744681
190	0.1138305221	0.9848404255
191	0.1131516397	0.9854787234
192	0.1120111814	0.9857446809
193	0.1113630034	0.9860638298
194	0.1108064694	0.9861702128
195	0.1103303703	0.9862765957
196	0.110274337	0.9861702128
197	0.1097614065	0.9863297872
198	0.1091796147	0.9865425532
199	0.1083472607	0.9871808511
200	0.1076207986	0.9874468085
201	0.1072957596	0.987606383
202	0.1063818639	0.9880319149
203	0.1056471515	0.9885106383
204	0.1053530365	0.9885106383
205	0.1053368612	0.9884574468
206	0.1044706226	0.9888829787
207	0.1035356025	0.9890425532
208	0.1029350764	0.9895212766
209	0.1022863844	0.9895744681
210	0.1014375264	0.9903191489
211	0.1010335399	0.9902659574
212	0.1005355871	0.990212766
213	0.1003387713	0.990212766
214	0.09990976778	0.9903191489
215	0.09936240505	0.9902659574
216	0.09874809244	0.9906914894
217	0.09795124311	0.9912234043
218	0.0973733986	0.9913829787
219	0.09658085538	0.9915957447
220	0.09599499173	0.9916489362
221	0.09540770411	0.9918617021
222	0.09481606744	0.9920744681
223	0.09424932449	0.9924468085
224	0.09358464468	0.992606383
225	0.09308131237	0.9926595745
226	0.09246889168	0.9928191489
227	0.09200231522	0.9928723404
228	0.09140298321	0.9930851064
229	0.09102238442	0.9928723404
230	0.09045959165	0.9933510638
231	0.09005108446	0.9936170213
232	0.08968838248	0.9935106383
233	0.08918506402	0.9937234043
234	0.08873205621	0.9938297872
235	0.08810841834	0.9939893617
236	0.08757815602	0.9938829787
237	0.08700911167	0.9939893617
238	0.08643186957	0.9942553191
239	0.08593681675	0.9944680851
240	0.08539576911	0.9946276596
241	0.08512022295	0.9945744681
242	0.08490752279	0.9946276596
243	0.08456638845	0.9948404255
244	0.08437774099	0.9949468085
245	0.08392130512	0.9950531915
246	0.08357547692	0.995106383
247	0.08328552446	0.9953191489
248	0.08244305988	0.9954787234
249	0.08186687989	0.9956914894
250	0.08152349367	0.9956914894
251	0.08094133041	0.9957978723
252	0.08032663359	0.9960106383
253	0.07997125035	0.9960638298
254	0.07967948343	0.9962234043
255	0.07922245846	0.9960106383
256	0.07881832525	0.9960106383
257	0.07846966864	0.9962234043
258	0.07806686875	0.9961702128
259	0.07773106498	0.9962234043
260	0.07744462598	0.9961702128
261	0.077191501	0.9961702128
262	0.07689979761	0.9962765957
263	0.07655520917	0.9962765957
264	0.07615823904	0.9962765957
265	0.07584258728	0.9964361702
266	0.07558091296	0.9965425532
267	0.07523356314	0.9966489362
268	0.07486867331	0.9968617021
269	0.07439150418	0.9968617021
270	0.07402956495	0.9969680851
271	0.07368246938	0.9970212766
272	0.07322245614	0.9971808511
273	0.07287593183	0.997287234
274	0.07247424673	0.997393617
275	0.0720711226	0.9975
276	0.07166132719	0.9975531915
277	0.07128432367	0.997606383
278	0.07089096089	0.997606383
279	0.07050862872	0.9976595745
280	0.07013893637	0.9975531915
281	0.06976099653	0.9976595745
282	0.0693077884	0.9978191489
283	0.06897023526	0.9977659574
284	0.06847819544	0.9979787234
285	0.06832039218	0.9979255319
286	0.0679419054	0.9981382979
287	0.06771875071	0.9982446809
288	0.06751713525	0.9982978723
289	0.06729859896	0.9982978723
290	0.06704744432	0.9982978723
291	0.0663973964	0.9984042553
292	0.06615906752	0.9983510638
293	0.06568193699	0.9984042553
