iter	Logloss	Accuracy
0	0.6228053922	0.8062234043
1	0.5696504007	0.8164893617
2	0.5312141202	0.8208510638
3	0.5037078133	0.8284574468
4	0.478407786	0.8309042553
5	0.4572921251	0.8332446809
6	0.4387921734	0.8365957447
7	0.4232583488	0.8392553191
8	0.4112045707	0.8428723404
9	0.4009846978	0.8437234043
10	0.39124975	0.8460106383
11	0.3813261347	0.8505319149
12	0.3721926638	0.8544148936
13	0.3653753957	0.8538297872
14	0.358246804	0.8566489362
15	0.3522848468	0.859893617
16	0.3477574457	0.8614361702
17	0.3429807393	0.8606914894
18	0.3385754455	0.8646276596
19	0.3346921988	0.8660638298
20	0.3305176863	0.8679255319
21	0.3267143787	0.8687234043
22	0.3231889463	0.8706914894
23	0.3201354549	0.8725
24	0.3162175919	0.8739361702
25	0.3139943271	0.8745212766
26	0.3113855241	0.8764361702
27	0.3078547417	0.8780851064
28	0.3042246599	0.8795744681
29	0.3019796797	0.8815425532
30	0.2998186642	0.8821276596
31	0.297147679	0.8840425532
32	0.2952998546	0.885
33	0.2923800202	0.8867553191
34	0.2897445613	0.8886170213
35	0.2880472831	0.8895212766
36	0.2861452787	0.8911170213
37	0.2844077186	0.8915957447
38	0.2822321511	0.8924468085
39	0.2802338216	0.8932978723
40	0.2780807772	0.8943617021
41	0.2767956577	0.8944148936
42	0.2763540501	0.895
43	0.2751317528	0.8948404255
44	0.2735049374	0.8957978723
45	0.271678117	0.8970212766
46	0.2695649444	0.8980851064
47	0.2686336892	0.8987234043
48	0.2671091694	0.8995212766
49	0.2656000264	0.9003191489
50	0.2637347134	0.9015957447
51	0.2619311835	0.9021276596
52	0.2598455204	0.9034042553
53	0.2583299884	0.9040425532
54	0.2568654559	0.9050531915
55	0.255328916	0.9059042553
56	0.2541799085	0.9062234043
57	0.2526102484	0.907606383
58	0.2510654113	0.9084574468
59	0.2488663222	0.9100531915
60	0.2473251362	0.9103191489
61	0.2467265417	0.9105319149
62	0.2449656621	0.9117553191
63	0.2435243599	0.9137234043
64	0.2418831923	0.914893617
65	0.2418054575	0.9148404255
66	0.2407874004	0.9148404255
67	0.2393316372	0.9160106383
68	0.2390291403	0.9158510638
69	0.2369074986	0.9166489362
70	0.2355095682	0.9180319149
71	0.2338073283	0.9188297872
72	0.2336769	0.9186702128
73	0.2327536486	0.9195212766
74	0.2315295613	0.9203723404
75	0.2305623284	0.9214893617
76	0.2291324507	0.9222340426
77	0.2280888466	0.9231382979
78	0.2271808644	0.9238829787
79	0.2258354369	0.9248404255
80	0.2243245892	0.9260638298
81	0.2227497412	0.9269148936
82	0.2210929821	0.927712766
83	0.2199340555	0.9282446809
84	0.2193490269	0.9281914894
85	0.2177490245	0.9299468085
86	0.2164953831	0.9309574468
87	0.215485572	0.9307446809
88	0.2150127617	0.9310106383
89	0.2145181753	0.9311702128
90	0.2133636064	0.9315425532
91	0.2124314312	0.9319148936
