iter	Passed	Remaining
0	265	132632
1	448	111693
2	672	111405
3	927	115028
4	1180	116873
5	1409	116085
6	1645	115887
7	1921	118154
8	2130	116233
9	2384	116849
10	2608	115979
11	2821	114721
12	3051	114319
13	3286	114092
14	3585	115929
15	3853	116579
16	4091	116251
17	4337	116142
18	4535	114830
19	4711	113074
20	4879	111298
21	5055	109848
22	5239	108664
23	5410	107308
24	5586	106143
25	5764	105090
26	5931	103914
27	6101	102848
28	6275	101927
29	6452	101090
30	6640	100461
31	6821	99762
32	7002	99089
33	7178	98389
34	7359	97770
35	7472	96313
36	7692	96259
37	7944	96583
38	8168	96552
39	8376	96326
40	8561	95851
41	8809	96067
42	9085	96557
43	9337	96767
44	9554	96609
45	9779	96520
46	9974	96133
47	10226	96296
48	10409	95806
49	10613	95517
50	10863	95641
51	11147	96037
52	11319	95471
53	11505	95030
54	11723	94850
55	11956	94795
56	12214	94933
57	12493	95208
58	12766	95427
59	13051	95713
60	13234	95247
61	13458	95079
62	13685	94932
63	13986	95280
64	14233	95255
65	14509	95412
66	14729	95192
67	14956	95015
68	15196	94925
69	15473	95052
70	15707	94906
71	15902	94529
72	16172	94597
73	16435	94613
74	16615	94152
75	16816	93818
76	17025	93532
77	17271	93442
78	17546	93509
79	17857	93751
80	18135	93811
81	18375	93669
82	18617	93533
83	18897	93589
84	19083	93172
85	19311	92965
86	19600	93046
87	19810	92748
88	20081	92736
89	20260	92296
90	20568	92445
91	20820	92332
92	21083	92266
93	21339	92167
94	21603	92098
95	21775	91640
96	21969	91275
97	22240	91229
98	22492	91106
99	22760	91043
100	22995	90844
101	23226	90630
102	23491	90546
103	23694	90222
104	23958	90129
105	24198	89947
106	24433	89742
107	24703	89663
108	24943	89477
109	25160	89204
110	25396	89000
111	25632	88797
112	25818	88422
113	26066	88258
114	26265	87930
115	26532	87832
116	26755	87584
117	27002	87413
118	27243	87224
119	27466	86977
120	27755	86937
121	27958	86625
122	28238	86552
123	28516	86469
124	28778	86335
125	29037	86190
126	29269	85963
127	29450	85590
128	29624	85197
129	29894	85085
130	30098	84781
131	30337	84577
132	30584	84394
133	30772	84049
134	31024	83881
135	31197	83498
136	31459	83356
137	31735	83247
138	31961	83008
139	32197	82794
140	32384	82453
141	32604	82201
142	32843	81993
143	33095	81818
144	33333	81609
145	33513	81258
146	33781	81121
147	33964	80779
148	34224	80622
149	34443	80367
150	34711	80227
151	34987	80102
152	35244	79933
153	35435	79614
154	35618	79278
155	35887	79136
156	36169	79019
157	36407	78805
158	36668	78641
159	36883	78377
160	37111	78142
161	37391	78014
162	37625	77789
163	37896	77641
164	38160	77476
165	38365	77193
166	38592	76953
167	38839	76753
168	39116	76613
169	39378	76441
170	39646	76278
171	39902	76092
172	40168	75925
173	40344	75587
174	40590	75383
175	40859	75219
176	41087	74978
177	41293	74699
178	41482	74391
179	41651	74046
180	41894	73835
181	42109	73575
182	42343	73349
183	42528	73038
184	42737	72768
185	42941	72493
186	43223	72346
187	43429	72075
188	43622	71780
189	43841	71530
190	44096	71339
191	44366	71171
192	44608	70958
193	44841	70729
194	45057	70475
195	45279	70228
196	45477	69948
197	45695	69697
198	45949	69502
199	46186	69279
200	46384	68999
201	46612	68764
202	46896	68611
203	47095	68335
204	47335	68116
205	47545	67855
206	47739	67574
207	48008	67396
208	48247	67177
209	48517	66999
210	48806	66848
